atom_index_my_simulation_pos,atom_name_my_simulation_pos,rmsf_nm_my_simulation_pos
344,Ar,0.1988989933159577
345,Ar,0.28759024786415016
346,Ar,0.2411233013875598
347,Ar,0.6457433860701693
348,Ar,0.18749951128121572
349,Ar,0.4138549893161516
350,Ar,0.3422538615513121
351,Ar,0.2591658203689962
352,Ar,0.292843667168565
353,Ar,0.1940827143760129
354,Ar,0.21826791995547684
355,Ar,0.3047939364774941
356,Ar,0.24788960381827346
357,Ar,0.29585903524129903
358,Ar,0.5396607412793111
359,Ar,0.19531778504147157
360,Ar,0.24783919698174162
361,Ar,0.3332316474083005
362,Ar,0.24618221039082192
363,Ar,0.3608874096394525
364,Ar,0.238804260588822
365,Ar,0.22692919380605345
366,Ar,0.27767131679973056
367,Ar,0.4057725486615675
368,Ar,0.45040587029622825
369,Ar,0.22748197316928895
370,Ar,0.23497989904327699
371,Ar,0.33676412666277783
372,Ar,0.27974693860305194
373,Ar,0.24750273722082544
374,Ar,0.21278953061562755
375,Ar,0.22055463462143035
376,Ar,0.23842224824066302
377,Ar,0.29347280173199863
378,Ar,0.5288666396482529
379,Ar,0.22809613717162916
380,Ar,0.2750816507001128
381,Ar,0.24971828821012576
382,Ar,0.4371504632080131
383,Ar,0.28427116867812846
384,Ar,0.19995263783729592
385,Ar,0.41241841304149923
386,Ar,0.4220859816250987
387,Ar,0.2951769876780025
388,Ar,0.3179833880479869
389,Ar,0.4267632692838948
390,Ar,0.4541020672031859
391,Ar,0.3144285379553873
392,Ar,0.42005194726029266
393,Ar,0.3451792578106292
394,Ar,0.16360802485385714
395,Ar,0.30158392767565445
396,Ar,0.8216993602662594
397,Ar,0.5933439816067224
398,Ar,0.26183708978715114
399,Ar,0.2813018854391844
400,Ar,0.22464229092628893
401,Ar,0.2558179711681179
402,Ar,0.3904283890372255
403,Ar,0.285212823719166
404,Ar,0.6117236166942319
405,Ar,0.3188415912063252
406,Ar,0.33657946284366363
407,Ar,0.33448656431698853
408,Ar,0.2130835721425022
409,Ar,0.26609530239975016
410,Ar,0.28049417917326425
411,Ar,0.19958608085729918
412,Ar,0.3327753110238766
413,Ar,0.25861773710557057
414,Ar,0.2658063528387165
415,Ar,0.5700040579689475
416,Ar,0.3195831742804835
417,Ar,0.19264741733572918
418,Ar,0.4646847060723401
419,Ar,0.3426828834734137
420,Ar,0.23139197460974745
421,Ar,0.3997720494425636
422,Ar,0.28751040323723986
423,Ar,0.3165986435076273
424,Ar,0.468296733587073
425,Ar,0.37568059248788055
426,Ar,0.3360499725600003
427,Ar,0.37902568155402216
428,Ar,0.3422180700132007
429,Ar,0.3333213679487293
430,Ar,0.6028250636482313
431,Ar,0.5736598957313913
432,Ar,0.4904770226358422
433,Ar,0.2054322335713263
434,Ar,0.38071296478261824
435,Ar,0.24104667696268903
436,Ar,0.3549058792092717
437,Ar,0.1834692487107237
438,Ar,0.3590579112968094
439,Ar,0.29641720143017386
440,Ar,0.23362862337990095
441,Ar,0.3039797258936503
442,Ar,0.32420038005945906
443,Ar,0.35763811722727884
444,Ar,0.7324052322480299
445,Ar,0.37737193552951653
446,Ar,0.683194832623542
447,Ar,0.1565175455819982
448,Ar,0.2719899231769336
449,Ar,0.31772518302412356
450,Ar,0.20582281648695913
451,Ar,0.5009037981758973
452,Ar,0.6019460817859167
453,Ar,0.32635757713974467
454,Ar,0.2188029200248997
455,Ar,0.22956571465174974
456,Ar,0.15368063327314743
457,Ar,0.3247012002416078
458,Ar,0.7401632584470477
459,Ar,0.4973993268710552
460,Ar,0.2712284697219279
461,Ar,0.5004612167893616
462,Ar,0.35707543941894304
463,Ar,0.25873302160954675
464,Ar,0.27196341422532105
465,Ar,0.4519257188039234
466,Ar,0.4570552592427898
467,Ar,0.19106124101906394
468,Ar,0.3463509160622923
469,Ar,0.5113330446138816
470,Ar,0.39806636587236677
471,Ar,0.214830843254365
472,Ar,0.23855164506357193
473,Ar,0.31904241304155123
474,Ar,0.23189401202734422
475,Ar,0.1580260771684485
476,Ar,0.4711940655286219
477,Ar,0.36282321423741914
478,Ar,0.17534314413064486
479,Ar,0.34317595894986425
480,Ar,0.27356679366342873
481,Ar,0.2580888279075746
482,Ar,0.32124711783692156
483,Ar,0.41162401397278675
484,Ar,0.1146309564481076
485,Ar,0.7623233418835509
486,Ar,0.4745457073729817
487,Ar,0.52429809124863
488,Ar,0.46386523097014576
489,Ar,0.24495998035786715
490,Ar,0.22914215556055517
491,Ar,0.3357080775985376
492,Ar,0.20668592248337966
493,Ar,0.3114074030853477
494,Ar,0.2527896471743844
495,Ar,0.2820350603629744
496,Ar,0.2999318125389724
497,Ar,0.25936407354327584
498,Ar,0.20466133028932257
499,Ar,0.45530355612612566
