Zeitpunkt: 1784229467.387579; Simulationschritt: 20200
Zeitpunkt: 1784229510.897534; Simulationschritt: 20300
Zeitpunkt: 1784229554.3023932; Simulationschritt: 20400
Zeitpunkt: 1784229597.738555; Simulationschritt: 20500
Zeitpunkt: 1784229641.21292; Simulationschritt: 20600
Zeitpunkt: 1784229684.675025; Simulationschritt: 20700
Zeitpunkt: 1784229728.064846; Simulationschritt: 20800
Zeitpunkt: 1784229771.551121; Simulationschritt: 20900
Zeitpunkt: 1784229815.032835; Simulationschritt: 21000
Zeitpunkt: 1784229858.5760698; Simulationschritt: 21100
Zeitpunkt: 1784229902.142004; Simulationschritt: 21200
Zeitpunkt: 1784229945.62551; Simulationschritt: 21300
Zeitpunkt: 1784229989.0449522; Simulationschritt: 21400
Zeitpunkt: 1784230032.5037062; Simulationschritt: 21500
Zeitpunkt: 1784230075.901033; Simulationschritt: 21600
Zeitpunkt: 1784230119.306329; Simulationschritt: 21700
Zeitpunkt: 1784230162.73738; Simulationschritt: 21800
Zeitpunkt: 1784230206.168043; Simulationschritt: 21900
Zeitpunkt: 1784230249.597501; Simulationschritt: 22000
Zeitpunkt: 1784230292.991744; Simulationschritt: 22100
Zeitpunkt: 1784230336.458338; Simulationschritt: 22200
Zeitpunkt: 1784230379.959647; Simulationschritt: 22300
Zeitpunkt: 1784230426.112982; Simulationschritt: 22400
Zeitpunkt: 1784230469.734268; Simulationschritt: 22500
Zeitpunkt: 1784230513.210845; Simulationschritt: 22600
Zeitpunkt: 1784230557.065839; Simulationschritt: 22700
Zeitpunkt: 1784230600.653045; Simulationschritt: 22800
Zeitpunkt: 1784230644.148546; Simulationschritt: 22900
Zeitpunkt: 1784230687.66418; Simulationschritt: 23000
Zeitpunkt: 1784230731.356979; Simulationschritt: 23100
Zeitpunkt: 1784230774.8168068; Simulationschritt: 23200
Zeitpunkt: 1784230818.385358; Simulationschritt: 23300
Zeitpunkt: 1784230862.045008; Simulationschritt: 23400
Zeitpunkt: 1784230905.562206; Simulationschritt: 23500
Zeitpunkt: 1784230949.109042; Simulationschritt: 23600
Zeitpunkt: 1784230992.569155; Simulationschritt: 23700
Zeitpunkt: 1784231036.189456; Simulationschritt: 23800
Zeitpunkt: 1784231079.585946; Simulationschritt: 23900
Zeitpunkt: 1784231123.162175; Simulationschritt: 24000
Zeitpunkt: 1784231166.82016; Simulationschritt: 24100
Zeitpunkt: 1784231210.378749; Simulationschritt: 24200
Zeitpunkt: 1784231253.840652; Simulationschritt: 24300
Zeitpunkt: 1784231297.27371; Simulationschritt: 24400
Zeitpunkt: 1784231340.8197398; Simulationschritt: 24500
Zeitpunkt: 1784231384.232645; Simulationschritt: 24600
Zeitpunkt: 1784231427.847233; Simulationschritt: 24700
Zeitpunkt: 1784231471.420817; Simulationschritt: 24800
Zeitpunkt: 1784231514.883713; Simulationschritt: 24900
Zeitpunkt: 1784231558.3841448; Simulationschritt: 25000
Zeitpunkt: 1784231601.966926; Simulationschritt: 25100
Zeitpunkt: 1784231645.506165; Simulationschritt: 25200
Zeitpunkt: 1784231689.161691; Simulationschritt: 25300
Zeitpunkt: 1784231732.764101; Simulationschritt: 25400
Zeitpunkt: 1784231776.62867; Simulationschritt: 25500
Zeitpunkt: 1784231820.2668102; Simulationschritt: 25600
Zeitpunkt: 1784231863.7436001; Simulationschritt: 25700
Zeitpunkt: 1784231907.223968; Simulationschritt: 25800
Zeitpunkt: 1784231950.768655; Simulationschritt: 25900
Zeitpunkt: 1784231994.2441301; Simulationschritt: 26000
Zeitpunkt: 1784232037.91222; Simulationschritt: 26100
Zeitpunkt: 1784232081.52957; Simulationschritt: 26200
Zeitpunkt: 1784232125.151975; Simulationschritt: 26300
Zeitpunkt: 1784232168.612158; Simulationschritt: 26400
Zeitpunkt: 1784232212.0664132; Simulationschritt: 26500
Zeitpunkt: 1784232255.290219; Simulationschritt: 26600
Zeitpunkt: 1784232298.675214; Simulationschritt: 26700
Zeitpunkt: 1784232342.592832; Simulationschritt: 26800
Zeitpunkt: 1784232385.8575091; Simulationschritt: 26900
Zeitpunkt: 1784232429.039318; Simulationschritt: 27000
Zeitpunkt: 1784232472.559412; Simulationschritt: 27100
Zeitpunkt: 1784232515.910628; Simulationschritt: 27200
Zeitpunkt: 1784232559.1078222; Simulationschritt: 27300
Zeitpunkt: 1784232602.378853; Simulationschritt: 27400
Zeitpunkt: 1784232645.95398; Simulationschritt: 27500
Zeitpunkt: 1784232689.199208; Simulationschritt: 27600
Zeitpunkt: 1784232732.3743749; Simulationschritt: 27700
Zeitpunkt: 1784232775.66909; Simulationschritt: 27800
Zeitpunkt: 1784232819.0374742; Simulationschritt: 27900
Zeitpunkt: 1784232862.212661; Simulationschritt: 28000
Zeitpunkt: 1784232905.55174; Simulationschritt: 28100
Zeitpunkt: 1784232948.998301; Simulationschritt: 28200
Zeitpunkt: 1784232992.274951; Simulationschritt: 28300
Zeitpunkt: 1784233035.442904; Simulationschritt: 28400
Zeitpunkt: 1784233078.6549819; Simulationschritt: 28500
Zeitpunkt: 1784233122.1643178; Simulationschritt: 28600
Zeitpunkt: 1784233165.350399; Simulationschritt: 28700
Zeitpunkt: 1784233208.5683331; Simulationschritt: 28800
Zeitpunkt: 1784233251.925803; Simulationschritt: 28900
Zeitpunkt: 1784233295.223517; Simulationschritt: 29000
Zeitpunkt: 1784233338.414655; Simulationschritt: 29100
Zeitpunkt: 1784233381.546628; Simulationschritt: 29200
Zeitpunkt: 1784233425.080352; Simulationschritt: 29300
Zeitpunkt: 1784233468.327143; Simulationschritt: 29400
Zeitpunkt: 1784233511.907325; Simulationschritt: 29500
Zeitpunkt: 1784233555.3461819; Simulationschritt: 29600
Zeitpunkt: 1784233598.702064; Simulationschritt: 29700
Zeitpunkt: 1784233641.8872519; Simulationschritt: 29800
Zeitpunkt: 1784233685.004034; Simulationschritt: 29900
