#E_pot  E_kin  T  P
-8.862486e-04 6.776508e+02 2.716755e+02 7.501771e+02
-9.517297e-04 6.407942e+02 2.568994e+02 7.093759e+02
-1.035427e-03 6.749047e+02 2.705746e+02 7.471370e+02
-1.164782e-03 6.811055e+02 2.730605e+02 7.540015e+02
-1.353572e-03 6.920878e+02 2.774634e+02 7.661592e+02
-1.555683e-03 7.071967e+02 2.835207e+02 7.828851e+02
-1.861837e-03 7.277968e+02 2.917795e+02 8.056900e+02
-2.272812e-03 7.117495e+02 2.853460e+02 7.879253e+02
-2.834848e-03 7.096593e+02 2.845080e+02 7.856113e+02
-3.727764e-03 7.509130e+02 3.010469e+02 8.312802e+02
-4.809684e-03 7.511245e+02 3.011317e+02 8.315144e+02
-5.756431e-03 7.319629e+02 2.934497e+02 8.103020e+02
-6.457213e-03 7.301987e+02 2.927424e+02 8.083489e+02
-7.222510e-03 7.514452e+02 3.012603e+02 8.318694e+02
-7.687285e-03 7.710362e+02 3.091144e+02 8.535571e+02
-7.465045e-03 7.410823e+02 2.971057e+02 8.203974e+02
-6.975921e-03 7.289613e+02 2.922463e+02 8.069791e+02
-6.701816e-03 6.781823e+02 2.718886e+02 7.507654e+02
-6.273399e-03 6.608226e+02 2.649290e+02 7.315479e+02
-5.320188e-03 7.059854e+02 2.830351e+02 7.815443e+02
-4.308650e-03 7.011178e+02 2.810836e+02 7.761557e+02
-3.488625e-03 6.846064e+02 2.744641e+02 7.578771e+02
-3.016901e-03 6.929138e+02 2.777946e+02 7.670737e+02
-2.836300e-03 6.984504e+02 2.800143e+02 7.732028e+02
-2.735972e-03 6.815458e+02 2.732371e+02 7.544890e+02
-2.596909e-03 6.878270e+02 2.757552e+02 7.614424e+02
-2.430953e-03 6.996491e+02 2.804948e+02 7.745298e+02
-2.244204e-03 7.435398e+02 2.980910e+02 8.231180e+02
-2.150952e-03 6.902315e+02 2.767192e+02 7.641042e+02
-2.206359e-03 6.865978e+02 2.752624e+02 7.600816e+02
-2.444433e-03 6.754897e+02 2.708091e+02 7.477847e+02
-2.787365e-03 6.953576e+02 2.787743e+02 7.697789e+02
-3.028378e-03 7.194455e+02 2.884314e+02 7.964449e+02
-3.080842e-03 7.162052e+02 2.871323e+02 7.928578e+02
-3.156015e-03 7.465841e+02 2.993114e+02 8.264881e+02
-3.452817e-03 6.868950e+02 2.753816e+02 7.604107e+02
-4.086049e-03 7.375054e+02 2.956717e+02 8.164377e+02
-5.084708e-03 7.250983e+02 2.906976e+02 8.027027e+02
-6.127664e-03 7.296520e+02 2.925232e+02 8.077437e+02
-7.552445e-03 7.019851e+02 2.814314e+02 7.771158e+02
-1.087970e-02 6.765919e+02 2.712510e+02 7.490049e+02
-1.644252e-02 7.539085e+02 3.022478e+02 8.345963e+02
-2.319781e-02 7.391035e+02 2.963124e+02 8.182069e+02
-3.208089e-02 7.474726e+02 2.996676e+02 8.274716e+02
-4.028226e-02 7.743010e+02 3.104233e+02 8.571714e+02
-4.221285e-02 7.712273e+02 3.091911e+02 8.537687e+02
-4.101128e-02 7.905314e+02 3.169302e+02 8.751388e+02
-3.646052e-02 7.977546e+02 3.198261e+02 8.831351e+02
-2.954648e-02 7.759611e+02 3.110889e+02 8.590092e+02
-2.433752e-02 7.587701e+02 3.041969e+02 8.399783e+02
-2.078999e-02 7.665138e+02 3.073014e+02 8.485508e+02
-1.924298e-02 7.846527e+02 3.145734e+02 8.686310e+02
-1.768151e-02 7.707028e+02 3.089808e+02 8.531881e+02
-1.565750e-02 8.027314e+02 3.218213e+02 8.886446e+02
-1.380909e-02 7.935306e+02 3.181326e+02 8.784590e+02
-1.119393e-02 7.694848e+02 3.084925e+02 8.518398e+02
-8.499780e-03 8.184930e+02 3.281403e+02 9.060931e+02
-7.248552e-03 7.887588e+02 3.162196e+02 8.731765e+02
-6.865779e-03 8.119062e+02 3.254996e+02 8.988013e+02
-7.032433e-03 7.972541e+02 3.196254e+02 8.825810e+02
-7.505608e-03 8.222315e+02 3.296391e+02 9.102317e+02
-7.292957e-03 7.763479e+02 3.112440e+02 8.594374e+02
-6.450282e-03 7.437680e+02 2.981824e+02 8.233705e+02
-5.462793e-03 7.531398e+02 3.019396e+02 8.337454e+02
-4.462219e-03 7.711114e+02 3.091446e+02 8.536404e+02
-3.695045e-03 7.703665e+02 3.088460e+02 8.528157e+02
-3.351583e-03 7.457605e+02 2.989812e+02 8.255763e+02
-3.399919e-03 7.790576e+02 3.123303e+02 8.624370e+02
-3.405894e-03 7.538238e+02 3.022139e+02 8.345026e+02
-3.206427e-03 7.842039e+02 3.143935e+02 8.681341e+02
-2.941035e-03 7.434604e+02 2.980591e+02 8.230301e+02
-2.651779e-03 7.307591e+02 2.929670e+02 8.089693e+02
-2.466912e-03 7.422028e+02 2.975549e+02 8.216378e+02
-2.354311e-03 7.412628e+02 2.971781e+02 8.205973e+02
-2.251032e-03 8.219688e+02 3.295338e+02 9.099409e+02
-2.118953e-03 8.011200e+02 3.211753e+02 8.868607e+02
-1.935309e-03 7.723639e+02 3.096468e+02 8.550270e+02
-1.703076e-03 7.682194e+02 3.079852e+02 8.504389e+02
-1.542307e-03 7.521393e+02 3.015386e+02 8.326378e+02
-1.492117e-03 7.415830e+02 2.973064e+02 8.209517e+02
-1.454284e-03 7.161143e+02 2.870958e+02 7.927572e+02
-1.455262e-03 7.403663e+02 2.968187e+02 8.196048e+02
-1.452136e-03 7.572329e+02 3.035806e+02 8.382765e+02
-1.329013e-03 7.750448e+02 3.107215e+02 8.579948e+02
-1.163850e-03 7.746678e+02 3.105704e+02 8.575774e+02
-1.027171e-03 7.479582e+02 2.998623e+02 8.280092e+02
-8.969878e-04 7.375569e+02 2.956924e+02 8.164947e+02
-7.583640e-04 7.304285e+02 2.928345e+02 8.086034e+02
-6.541075e-04 7.492070e+02 3.003630e+02 8.293916e+02
-5.863574e-04 7.088053e+02 2.841656e+02 7.846659e+02
-5.430686e-04 6.942410e+02 2.783267e+02 7.685429e+02
-5.004242e-04 6.710482e+02 2.690285e+02 7.428679e+02
-4.280989e-04 6.705727e+02 2.688379e+02 7.423414e+02
-3.534750e-04 6.731684e+02 2.698785e+02 7.452149e+02
-3.040907e-04 7.187119e+02 2.881373e+02 7.956328e+02
-2.723059e-04 7.127921e+02 2.857639e+02 7.890794e+02
-2.536778e-04 7.097125e+02 2.845293e+02 7.856703e+02
-2.371188e-04 7.523703e+02 3.016312e+02 8.328935e+02
-2.169903e-04 8.090343e+02 3.243482e+02 8.956220e+02
-2.035052e-04 7.375220e+02 2.956784e+02 8.164561e+02
-1.930637e-04 7.440405e+02 2.982917e+02 8.236723e+02
