#E_pot  E_kin  T  P
-2.225524e+02 1.080730e+02 4.332731e+01 9.571169e+05
-2.224294e+02 1.077035e+02 4.317918e+01 9.538446e+05
-2.223071e+02 1.078715e+02 4.324651e+01 9.553321e+05
-2.221853e+02 1.079434e+02 4.327536e+01 9.559693e+05
-2.220652e+02 1.071969e+02 4.297607e+01 9.493579e+05
-2.219464e+02 1.069919e+02 4.289387e+01 9.475422e+05
-2.218297e+02 1.064154e+02 4.266277e+01 9.424369e+05
-2.217160e+02 1.064316e+02 4.266927e+01 9.425807e+05
-2.216057e+02 1.060099e+02 4.250021e+01 9.388459e+05
-2.214973e+02 1.056288e+02 4.234743e+01 9.354711e+05
-2.213890e+02 1.058331e+02 4.242932e+01 9.372799e+05
-2.212819e+02 1.065859e+02 4.273114e+01 9.439473e+05
-2.211769e+02 1.066663e+02 4.276337e+01 9.446593e+05
-2.210730e+02 1.061799e+02 4.256836e+01 9.403515e+05
-2.209705e+02 1.057364e+02 4.239054e+01 9.364232e+05
-2.208702e+02 1.055173e+02 4.230270e+01 9.344829e+05
-2.207717e+02 1.057979e+02 4.241523e+01 9.369686e+05
-2.206753e+02 1.053793e+02 4.224739e+01 9.332611e+05
-2.205805e+02 1.048443e+02 4.203289e+01 9.285228e+05
-2.204879e+02 1.053718e+02 4.224436e+01 9.331942e+05
-2.203971e+02 1.053053e+02 4.221773e+01 9.326058e+05
-2.203080e+02 1.054049e+02 4.225763e+01 9.334873e+05
-2.202208e+02 1.051912e+02 4.217196e+01 9.315948e+05
-2.201349e+02 1.051146e+02 4.214128e+01 9.309171e+05
-2.200517e+02 1.052176e+02 4.218256e+01 9.318289e+05
-2.199729e+02 1.056686e+02 4.236336e+01 9.358229e+05
-2.198968e+02 1.057827e+02 4.240910e+01 9.368333e+05
-2.198213e+02 1.055766e+02 4.232650e+01 9.350087e+05
-2.197464e+02 1.053956e+02 4.225394e+01 9.334058e+05
-2.196727e+02 1.061937e+02 4.257389e+01 9.404737e+05
-2.196000e+02 1.067760e+02 4.280732e+01 9.456302e+05
-2.195293e+02 1.069487e+02 4.287658e+01 9.471601e+05
-2.194602e+02 1.072820e+02 4.301019e+01 9.501115e+05
-2.193914e+02 1.064337e+02 4.267011e+01 9.425991e+05
-2.193244e+02 1.067671e+02 4.280378e+01 9.455519e+05
-2.192601e+02 1.070651e+02 4.292326e+01 9.481912e+05
-2.191976e+02 1.077257e+02 4.318807e+01 9.540410e+05
-2.191358e+02 1.073984e+02 4.305686e+01 9.511425e+05
-2.190762e+02 1.066452e+02 4.275489e+01 9.444720e+05
-2.190186e+02 1.065916e+02 4.273340e+01 9.439973e+05
-2.189611e+02 1.062425e+02 4.259347e+01 9.409061e+05
-2.189041e+02 1.063179e+02 4.262370e+01 9.415739e+05
-2.188492e+02 1.061473e+02 4.255527e+01 9.400623e+05
-2.187958e+02 1.057660e+02 4.240243e+01 9.366859e+05
-2.187445e+02 1.061558e+02 4.255867e+01 9.401375e+05
-2.186957e+02 1.064681e+02 4.268390e+01 9.429037e+05
-2.186486e+02 1.070199e+02 4.290513e+01 9.477908e+05
-2.186033e+02 1.069243e+02 4.286678e+01 9.469435e+05
-2.185597e+02 1.067894e+02 4.281272e+01 9.457493e+05
-2.185177e+02 1.066573e+02 4.275974e+01 9.445792e+05
-2.184771e+02 1.071948e+02 4.297526e+01 9.493399e+05
-2.184373e+02 1.072110e+02 4.298172e+01 9.494827e+05
-2.183986e+02 1.069080e+02 4.286026e+01 9.467996e+05
-2.183622e+02 1.064100e+02 4.266062e+01 9.423895e+05
-2.183277e+02 1.066287e+02 4.274827e+01 9.443256e+05
-2.182938e+02 1.068276e+02 4.282802e+01 9.460875e+05
-2.182601e+02 1.067773e+02 4.280787e+01 9.456423e+05
-2.182271e+02 1.064276e+02 4.266766e+01 9.425450e+05
-2.181953e+02 1.066379e+02 4.275195e+01 9.444071e+05
-2.181637e+02 1.062520e+02 4.259726e+01 9.409898e+05
-2.181321e+02 1.064102e+02 4.266070e+01 9.423911e+05
-2.181016e+02 1.059004e+02 4.245631e+01 9.378761e+05
-2.180729e+02 1.059240e+02 4.246577e+01 9.380852e+05
-2.180460e+02 1.049278e+02 4.206638e+01 9.292626e+05
-2.180214e+02 1.050745e+02 4.212518e+01 9.305615e+05
-2.179974e+02 1.054760e+02 4.228614e+01 9.341170e+05
-2.179733e+02 1.043946e+02 4.185261e+01 9.245402e+05
-2.179509e+02 1.038082e+02 4.161753e+01 9.193472e+05
-2.179315e+02 1.038144e+02 4.162000e+01 9.194018e+05
-2.179157e+02 1.039610e+02 4.167878e+01 9.207003e+05
-2.179026e+02 1.034504e+02 4.147406e+01 9.161779e+05
-2.178898e+02 1.040076e+02 4.169745e+01 9.211127e+05
-2.178774e+02 1.036193e+02 4.154180e+01 9.176743e+05
-2.178666e+02 1.037338e+02 4.158770e+01 9.186882e+05
-2.178577e+02 1.036821e+02 4.156695e+01 9.182299e+05
-2.178509e+02 1.035451e+02 4.151205e+01 9.170171e+05
-2.178457e+02 1.031061e+02 4.133603e+01 9.131289e+05
-2.178430e+02 1.033714e+02 4.144240e+01 9.154786e+05
-2.178420e+02 1.033562e+02 4.143632e+01 9.153442e+05
-2.178420e+02 1.031727e+02 4.136273e+01 9.137185e+05
-2.178430e+02 1.035254e+02 4.150414e+01 9.168423e+05
-2.178458e+02 1.024939e+02 4.109062e+01 9.077076e+05
-2.178505e+02 1.020399e+02 4.090858e+01 9.036862e+05
-2.178547e+02 1.021746e+02 4.096259e+01 9.048794e+05
-2.178592e+02 1.013835e+02 4.064542e+01 8.978730e+05
-2.178650e+02 1.009778e+02 4.048277e+01 8.942800e+05
-2.178724e+02 1.009846e+02 4.048554e+01 8.943411e+05
-2.178811e+02 1.002192e+02 4.017867e+01 8.875622e+05
-2.178894e+02 1.000356e+02 4.010508e+01 8.859366e+05
-2.178974e+02 1.002157e+02 4.017728e+01 8.875315e+05
-2.179066e+02 1.001604e+02 4.015507e+01 8.870410e+05
-2.179165e+02 1.005458e+02 4.030959e+01 8.904543e+05
-2.179268e+02 1.001752e+02 4.016101e+01 8.871720e+05
-2.179384e+02 1.004680e+02 4.027840e+01 8.897652e+05
-2.179504e+02 1.000910e+02 4.012727e+01 8.864267e+05
-2.179628e+02 1.004690e+02 4.027882e+01 8.897746e+05
-2.179755e+02 1.004278e+02 4.026231e+01 8.894098e+05
-2.179880e+02 1.008490e+02 4.043114e+01 8.931394e+05
-2.180001e+02 1.006534e+02 4.035272e+01 8.914071e+05
-2.180118e+02 1.000038e+02 4.009231e+01 8.856545e+05
-2.180230e+02 9.987266e+01 4.003973e+01 8.844931e+05
-2.180338e+02 9.997305e+01 4.007998e+01 8.853822e+05
-2.180452e+02 9.949252e+01 3.988733e+01 8.811265e+05
-2.180559e+02 9.953999e+01 3.990636e+01 8.815469e+05
-2.180659e+02 9.960201e+01 3.993123e+01 8.820962e+05
-2.180760e+02 9.986039e+01 4.003481e+01 8.843844e+05
-2.180859e+02 9.982630e+01 4.002115e+01 8.840826e+05
